id_version, NC, mWMC, mcBC
commit dca57db6a33f9a48758cae70b29ddb1d8e8bbfc2 1607128453 -----sp, 9, 1.7777777777777777, 0.12432768920073513
commit 4995514cf98d89fff35cb27d0adc333cd0bd017d 1607127855 -----sp, 9, 1.7777777777777777, 0.12432768920073513
commit d32dc240d5ea6b1eae3aa3c5d3bd1f1348128f2e 1607126281 -----sp, 9, 1.7777777777777777, 0.12432768920073513
commit 44a37252851bcab3dd33ba1efe27196b249995f6 1607126154 -----sp, 9, 1.7777777777777777, 0.12432768920073513
commit ff0f74c0e6b9dd869bbc847dad2e30038afa4698 1607037364 -----sp, 9, 1.7777777777777777, 0.12189772922360535
commit 710eb42600205c8d5a40439135b21e79bf8e9b40 1607015269 -----sp, 7, 2.0, 0.10802435315762246
commit b52c7017b134799eeb085e128d66f356ac724282 1607013696 -----sp, 8, 1.875, 0.11952130901291964
commit 01c8d79a4e8ecd17f3af6cef59859ceb3e4bbb88 1607011930 -----sp, 8, 1.875, 0.11952130901291964
commit 11dba026951b5e471ac506ce680097cb0a0e3593 1607010834 -----sp, 8, 1.875, 0.11952130901291964
commit 9a185e5e8c6d4d0737b8f34aa7487305882988e4 1607009594 -----sp, 8, 1.875, 0.11952130901291964
commit 35320468aec19db2a399f6958e98be63efb09a09 1606755247 -----sp, 8, 1.875, 0.11952130901291964
commit d770c63955783b816e2dec6c8f196a0057e07877 1606752972 -----sp, 6, 2.1666666666666665, 0.09173256601925255
commit e43adf731beb590396300257c2bed13cb86122f9 1606750377 -----sp, 6, 2.1666666666666665, 0.09173256601925255
commit 50398c89c9cdc542b0519772c63a30b1fa01df34 1606750311 -----sp, 6, 2.1666666666666665, 0.09173256601925255
commit 33fb9b370c88b284bb52e8729effd2836467871d 1606491126 -----sp, 6, 2.1666666666666665, 0.09715892260839983
